platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1354774,10,738.13
PMEM,nt,write,sequential,8,135168,14336,111212,1624690,12,615.502
PMEM,nt,write,sequential,8,1048576,14336,14336,1371866,10,728.934
PMEM,nt,write,sequential,8,1052672,14336,14280,1622540,12,616.318
PMEM,nt,write,sequential,16,131072,14336,114688,1357895,20,736.434
PMEM,nt,write,sequential,16,135168,14336,111212,1589329,24,629.196
PMEM,nt,write,sequential,16,1048576,14336,14336,1374849,20,727.353
PMEM,nt,write,sequential,16,1052672,14336,14280,1684828,25,593.532
PMEM,nt,write,sequential,32,131072,14336,114688,1357568,41,736.611
PMEM,nt,write,sequential,32,135168,14336,111212,1606660,49,622.409
PMEM,nt,write,sequential,32,1048576,14336,14336,1380754,42,724.241
PMEM,nt,write,sequential,32,1052672,14336,14280,1623680,49,615.885
PMEM,nt,write,sequential,64,131072,14336,114688,1890979,115,528.826
PMEM,nt,write,sequential,64,135168,14336,111212,2972475,181,336.42
PMEM,nt,write,sequential,64,1048576,14336,14336,1887943,115,529.677
PMEM,nt,write,sequential,64,1052672,14336,14280,3099728,189,322.609
PMEM,nt,write,sequential,128,131072,14336,114688,1861296,227,537.26
PMEM,nt,write,sequential,128,135168,14336,111212,2842498,346,351.803
PMEM,nt,write,sequential,128,1048576,14336,14336,1881735,229,531.424
PMEM,nt,write,sequential,128,1052672,14336,14280,3032062,370,329.809
PMEM,nt,write,sequential,256,131072,14336,114688,1685339,411,593.352
PMEM,nt,write,sequential,256,135168,14336,111212,2802742,684,356.793
PMEM,nt,write,sequential,256,1048576,14336,14336,1675831,409,596.719
PMEM,nt,write,sequential,256,1052672,14336,14280,2882404,703,346.933
PMEM,nt,write,sequential,512,131072,14336,114688,1513948,739,660.524
PMEM,nt,write,sequential,512,135168,14336,111212,2646690,1292,377.83
PMEM,nt,write,sequential,512,1048576,14336,14336,1510055,737,662.227
PMEM,nt,write,sequential,512,1052672,14336,14280,2702078,1319,370.085
PMEM,nt,write,sequential,1024,131072,14336,114688,1262181,1232,792.279
PMEM,nt,write,sequential,1024,135168,14336,111212,2232466,2180,447.935
PMEM,nt,write,sequential,1024,1048576,14336,14336,1259600,1230,793.903
PMEM,nt,write,sequential,1024,1052672,14336,14280,2251695,2198,444.11
PMEM,nt,write,sequential,2048,131072,14336,114688,694642,1356,1439.59
PMEM,nt,write,sequential,2048,135168,14336,111212,1253913,2449,797.503
PMEM,nt,write,sequential,2048,1048576,14336,14336,697506,1362,1433.68
PMEM,nt,write,sequential,2048,1052672,14336,14280,1261680,2464,792.594
PMEM,nt,write,sequential,4096,131072,14336,114688,578954,2261,1727.25
PMEM,nt,write,sequential,4096,135168,14336,111212,769551,3006,1299.46
PMEM,nt,write,sequential,4096,1048576,14336,14336,634138,2477,1576.94
PMEM,nt,write,sequential,4096,1052672,14336,14280,772037,3015,1295.27
PMEM,nt,write,sequential,8192,131072,14336,114688,441617,3450,2264.4
PMEM,nt,write,sequential,8192,135168,14336,111212,416273,3252,2402.26
PMEM,nt,write,sequential,8192,1048576,14336,14336,443564,3465,2254.46
PMEM,nt,write,sequential,8192,1052672,14336,14280,417433,3261,2395.59
PMEM,nt,write,sequential,16384,131072,14336,114688,229658,3588,4354.28
PMEM,nt,write,sequential,16384,135168,14336,111212,229254,3582,4361.96
PMEM,nt,write,sequential,16384,1048576,14336,14336,248134,3877,4030.07
PMEM,nt,write,sequential,16384,1052672,14336,14280,233459,3647,4283.39
PMEM,nt,write,sequential,32768,131072,14336,114688,113803,3556,8787.1
PMEM,nt,write,sequential,32768,135168,14336,111212,115240,3601,8677.48
PMEM,nt,write,sequential,32768,1048576,14336,14336,128255,4007,7796.94
PMEM,nt,write,sequential,32768,1052672,14336,14280,123405,3856,8103.36
PMEM,nt,write,sequential,65536,131072,14336,114688,62032,3877,16120.5
PMEM,nt,write,sequential,65536,135168,14336,111212,61750,3859,16194.2
PMEM,nt,write,sequential,65536,1048576,14336,14336,66151,4134,15116.9
PMEM,nt,write,sequential,65536,1052672,14336,14280,66410,4150,15057.9
PMEM,t,write,sequential,8,131072,14336,114688,1461100,11,684.416
PMEM,t,write,sequential,8,135168,14336,111212,2546135,19,392.752
PMEM,t,write,sequential,8,1048576,14336,14336,1486483,11,672.729
PMEM,t,write,sequential,8,1052672,14336,14280,2558933,19,390.788
PMEM,t,write,sequential,16,131072,14336,114688,1458720,22,685.532
PMEM,t,write,sequential,16,135168,14336,111212,2538172,38,393.984
PMEM,t,write,sequential,16,1048576,14336,14336,1473221,22,678.784
