platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1397636,10,715.494
PMEM,nt,write,sequential,8,135168,14336,111212,1649897,12,606.098
PMEM,nt,write,sequential,8,1048576,14336,14336,1443690,11,692.669
PMEM,nt,write,sequential,8,1052672,14336,14280,1707695,13,585.584
PMEM,nt,write,sequential,16,131072,14336,114688,1394618,21,717.042
PMEM,nt,write,sequential,16,135168,14336,111212,1645092,25,607.868
PMEM,nt,write,sequential,16,1048576,14336,14336,1445880,22,691.62
PMEM,nt,write,sequential,16,1052672,14336,14280,1705024,26,586.502
PMEM,nt,write,sequential,32,131072,14336,114688,1397700,42,715.461
PMEM,nt,write,sequential,32,135168,14336,111212,1637222,49,610.791
PMEM,nt,write,sequential,32,1048576,14336,14336,1455971,44,686.827
PMEM,nt,write,sequential,32,1052672,14336,14280,1654455,50,604.429
PMEM,nt,write,sequential,64,131072,14336,114688,1989902,121,502.537
PMEM,nt,write,sequential,64,135168,14336,111212,3007989,183,332.448
PMEM,nt,write,sequential,64,1048576,14336,14336,2074844,126,481.964
PMEM,nt,write,sequential,64,1052672,14336,14280,3195313,195,312.958
PMEM,nt,write,sequential,128,131072,14336,114688,1963198,239,509.373
PMEM,nt,write,sequential,128,135168,14336,111212,2905677,354,344.154
PMEM,nt,write,sequential,128,1048576,14336,14336,2069552,252,483.196
PMEM,nt,write,sequential,128,1052672,14336,14280,3087661,376,323.87
PMEM,nt,write,sequential,256,131072,14336,114688,1747536,426,572.234
PMEM,nt,write,sequential,256,135168,14336,111212,2824213,689,354.081
PMEM,nt,write,sequential,256,1048576,14336,14336,1811581,442,552.004
PMEM,nt,write,sequential,256,1052672,14336,14280,2952955,720,338.644
PMEM,nt,write,sequential,512,131072,14336,114688,1554491,759,643.297
PMEM,nt,write,sequential,512,135168,14336,111212,2650539,1294,377.282
PMEM,nt,write,sequential,512,1048576,14336,14336,1595934,779,626.592
PMEM,nt,write,sequential,512,1052672,14336,14280,2732119,1334,366.016
PMEM,nt,write,sequential,1024,131072,14336,114688,1288889,1258,775.862
PMEM,nt,write,sequential,1024,135168,14336,111212,2236046,2183,447.218
PMEM,nt,write,sequential,1024,1048576,14336,14336,1314458,1283,760.77
PMEM,nt,write,sequential,1024,1052672,14336,14280,2246273,2193,445.182
PMEM,nt,write,sequential,2048,131072,14336,114688,710322,1387,1407.81
PMEM,nt,write,sequential,2048,135168,14336,111212,1248947,2439,800.674
PMEM,nt,write,sequential,2048,1048576,14336,14336,733278,1432,1363.74
PMEM,nt,write,sequential,2048,1052672,14336,14280,1252059,2445,798.684
PMEM,nt,write,sequential,4096,131072,14336,114688,633530,2474,1578.46
PMEM,nt,write,sequential,4096,135168,14336,111212,797282,3114,1254.26
PMEM,nt,write,sequential,4096,1048576,14336,14336,643064,2511,1555.05
PMEM,nt,write,sequential,4096,1052672,14336,14280,798397,3118,1252.51
PMEM,nt,write,sequential,8192,131072,14336,114688,443199,3462,2256.32
PMEM,nt,write,sequential,8192,135168,14336,111212,414150,3235,2414.58
PMEM,nt,write,sequential,8192,1048576,14336,14336,439921,3436,2273.13
PMEM,nt,write,sequential,8192,1052672,14336,14280,418262,3267,2390.85
PMEM,nt,write,sequential,16384,131072,14336,114688,231004,3609,4328.92
PMEM,nt,write,sequential,16384,135168,14336,111212,222574,3477,4492.88
PMEM,nt,write,sequential,16384,1048576,14336,14336,225175,3518,4440.98
PMEM,nt,write,sequential,16384,1052672,14336,14280,209887,3279,4764.46
PMEM,nt,write,sequential,32768,131072,14336,114688,113662,3551,8798
PMEM,nt,write,sequential,32768,135168,14336,111212,121373,3792,8239
PMEM,nt,write,sequential,32768,1048576,14336,14336,127815,3994,7823.77
PMEM,nt,write,sequential,32768,1052672,14336,14280,128472,4014,7783.79
PMEM,nt,write,sequential,65536,131072,14336,114688,59589,3724,16781.4
PMEM,nt,write,sequential,65536,135168,14336,111212,63020,3938,15867.7
PMEM,nt,write,sequential,65536,1048576,14336,14336,61290,3830,16315.8
PMEM,nt,write,sequential,65536,1052672,14336,14280,60958,3809,16404.5
PMEM,t,write,sequential,8,131072,14336,114688,1646192,12,607.462
PMEM,t,write,sequential,8,135168,14336,111212,2614381,19,382.5
PMEM,t,write,sequential,8,1048576,14336,14336,1717538,13,582.229
PMEM,t,write,sequential,8,1052672,14336,14280,2625829,20,380.832
PMEM,t,write,sequential,16,131072,14336,114688,1648289,25,606.69
PMEM,t,write,sequential,16,135168,14336,111212,2612165,39,382.824
PMEM,t,write,sequential,16,1048576,14336,14336,1744194,26,573.33
PMEM,t,write,sequential,16,1052672,14336,14280,2616328,39,382.215
PMEM,t,write,sequential,32,131072,14336,114688,1647746,50,606.889
PMEM,t,write,sequential,32,135168,14336,111212,2616188,79,382.236
PMEM,t,write,sequential,32,1048576,14336,14336,1736253,52,575.953
PMEM,t,write,sequential,32,1052672,14336,14280,2630005,80,380.227
PMEM,t,write,sequential,64,131072,14336,114688,1992036,121,501.999
PMEM,t,write,sequential,64,135168,14336,111212,3124171,190,320.085
PMEM,t,write,sequential,64,1048576,14336,14336,2097582,128,476.739
PMEM,t,write,sequential,64,1052672,14336,14280,3120620,190,320.449
PMEM,t,write,sequential,128,131072,14336,114688,1949362,237,512.988
PMEM,t,write,sequential,128,135168,14336,111212,2543111,310,393.219
PMEM,t,write,sequential,128,1048576,14336,14336,2055534,250,486.491
PMEM,t,write,sequential,128,1052672,14336,14280,2537610,309,394.071
PMEM,t,write,sequential,256,131072,14336,114688,1636550,399,611.041
PMEM,t,write,sequential,256,135168,14336,111212,2344093,572,426.604
PMEM,t,write,sequential,256,1048576,14336,14336,1655646,404,603.994
PMEM,t,write,sequential,256,1052672,14336,14280,2358845,575,423.936
PMEM,t,write,sequential,512,131072,14336,114688,1188579,580,841.34
PMEM,t,write,sequential,512,135168,14336,111212,1499745,732,666.78
PMEM,t,write,sequential,512,1048576,14336,14336,1215117,593,822.966
PMEM,t,write,sequential,512,1052672,14336,14280,1560970,762,640.627
PMEM,t,write,sequential,1024,131072,14336,114688,846636,826,1181.15
