platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1363916,10,733.183
PMEM,nt,write,sequential,8,135168,14336,111212,1611629,12,620.49
PMEM,nt,write,sequential,8,1048576,14336,14336,1385024,10,722.009
PMEM,nt,write,sequential,8,1052672,14336,14280,1694377,12,590.187
PMEM,nt,write,sequential,16,131072,14336,114688,1367189,20,731.427
PMEM,nt,write,sequential,16,135168,14336,111212,1599790,24,625.082
PMEM,nt,write,sequential,16,1048576,14336,14336,1384476,21,722.295
PMEM,nt,write,sequential,16,1052672,14336,14280,1688314,25,592.307
PMEM,nt,write,sequential,32,131072,14336,114688,1364211,41,733.024
PMEM,nt,write,sequential,32,135168,14336,111212,1645318,50,607.785
PMEM,nt,write,sequential,32,1048576,14336,14336,1384732,42,722.161
PMEM,nt,write,sequential,32,1052672,14336,14280,1682544,51,594.338
PMEM,nt,write,sequential,64,131072,14336,114688,1912138,116,522.975
PMEM,nt,write,sequential,64,135168,14336,111212,2990948,182,334.342
PMEM,nt,write,sequential,64,1048576,14336,14336,1904420,116,525.094
PMEM,nt,write,sequential,64,1052672,14336,14280,3129105,190,319.58
PMEM,nt,write,sequential,128,131072,14336,114688,1884891,230,530.534
PMEM,nt,write,sequential,128,135168,14336,111212,2869595,350,348.481
PMEM,nt,write,sequential,128,1048576,14336,14336,1888388,230,529.552
PMEM,nt,write,sequential,128,1052672,14336,14280,3072335,375,325.485
PMEM,nt,write,sequential,256,131072,14336,114688,1698236,414,588.846
PMEM,nt,write,sequential,256,135168,14336,111212,2826159,689,353.837
PMEM,nt,write,sequential,256,1048576,14336,14336,1696564,414,589.426
PMEM,nt,write,sequential,256,1052672,14336,14280,2921758,713,342.26
PMEM,nt,write,sequential,512,131072,14336,114688,1529559,746,653.783
PMEM,nt,write,sequential,512,135168,14336,111212,2653080,1295,376.92
PMEM,nt,write,sequential,512,1048576,14336,14336,1515333,739,659.921
PMEM,nt,write,sequential,512,1052672,14336,14280,2686881,1311,372.179
PMEM,nt,write,sequential,1024,131072,14336,114688,1277129,1247,783.006
PMEM,nt,write,sequential,1024,135168,14336,111212,2248573,2195,444.726
PMEM,nt,write,sequential,1024,1048576,14336,14336,1267230,1237,789.122
PMEM,nt,write,sequential,1024,1052672,14336,14280,2267022,2213,441.107
PMEM,nt,write,sequential,2048,131072,14336,114688,696632,1360,1435.48
PMEM,nt,write,sequential,2048,135168,14336,111212,1254231,2449,797.301
PMEM,nt,write,sequential,2048,1048576,14336,14336,689649,1346,1450.01
PMEM,nt,write,sequential,2048,1052672,14336,14280,1245917,2433,802.621
PMEM,nt,write,sequential,4096,131072,14336,114688,586431,2290,1705.23
PMEM,nt,write,sequential,4096,135168,14336,111212,784436,3064,1274.8
PMEM,nt,write,sequential,4096,1048576,14336,14336,631784,2467,1582.82
