platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1359051,10,735.807
PMEM,nt,write,sequential,8,135168,14336,111212,1616244,12,618.718
PMEM,nt,write,sequential,8,1048576,14336,14336,1398418,10,715.093
PMEM,nt,write,sequential,8,1052672,14336,14280,1656829,12,603.562
PMEM,nt,write,sequential,16,131072,14336,114688,1365642,20,732.256
PMEM,nt,write,sequential,16,135168,14336,111212,1661626,25,601.82
PMEM,nt,write,sequential,16,1048576,14336,14336,1395709,21,716.482
PMEM,nt,write,sequential,16,1052672,14336,14280,1681186,25,594.818
PMEM,nt,write,sequential,32,131072,14336,114688,1365235,41,732.474
PMEM,nt,write,sequential,32,135168,14336,111212,1575606,48,634.676
PMEM,nt,write,sequential,32,1048576,14336,14336,1392538,42,718.113
PMEM,nt,write,sequential,32,1052672,14336,14280,1633509,49,612.179
PMEM,nt,write,sequential,64,131072,14336,114688,1910901,116,523.313
PMEM,nt,write,sequential,64,135168,14336,111212,2962459,180,337.557
PMEM,nt,write,sequential,64,1048576,14336,14336,1931958,117,517.609
PMEM,nt,write,sequential,64,1052672,14336,14280,3106951,189,321.859
PMEM,nt,write,sequential,128,131072,14336,114688,1880631,229,531.736
PMEM,nt,write,sequential,128,135168,14336,111212,2854246,348,350.355
PMEM,nt,write,sequential,128,1048576,14336,14336,1931174,235,517.819
PMEM,nt,write,sequential,128,1052672,14336,14280,3045323,371,328.372
PMEM,nt,write,sequential,256,131072,14336,114688,1698064,414,588.906
PMEM,nt,write,sequential,256,135168,14336,111212,2790024,681,358.42
PMEM,nt,write,sequential,256,1048576,14336,14336,1716201,418,582.682
PMEM,nt,write,sequential,256,1052672,14336,14280,2867318,700,348.758
PMEM,nt,write,sequential,512,131072,14336,114688,1524343,744,656.02
PMEM,nt,write,sequential,512,135168,14336,111212,2650391,1294,377.303
PMEM,nt,write,sequential,512,1048576,14336,14336,1533395,748,652.148
PMEM,nt,write,sequential,512,1052672,14336,14280,2719488,1327,367.716
PMEM,nt,write,sequential,1024,131072,14336,114688,1275657,1245,783.909
PMEM,nt,write,sequential,1024,135168,14336,111212,2239507,2187,446.527
PMEM,nt,write,sequential,1024,1048576,14336,14336,1279388,1249,781.623
PMEM,nt,write,sequential,1024,1052672,14336,14280,2260188,2207,442.441
PMEM,nt,write,sequential,2048,131072,14336,114688,695433,1358,1437.95
PMEM,nt,write,sequential,2048,135168,14336,111212,1254485,2450,797.14
PMEM,nt,write,sequential,2048,1048576,14336,14336,704916,1376,1418.61
PMEM,nt,write,sequential,2048,1052672,14336,14280,1258577,2458,794.548
PMEM,nt,write,sequential,4096,131072,14336,114688,637128,2488,1569.54
PMEM,nt,write,sequential,4096,135168,14336,111212,800106,3125,1249.83
PMEM,nt,write,sequential,4096,1048576,14336,14336,631411,2466,1583.75
PMEM,nt,write,sequential,4096,1052672,14336,14280,797206,3114,1254.38
PMEM,nt,write,sequential,8192,131072,14336,114688,441166,3446,2266.72
PMEM,nt,write,sequential,8192,135168,14336,111212,415040,3242,2409.41
PMEM,nt,write,sequential,8192,1048576,14336,14336,442325,3455,2260.78
PMEM,nt,write,sequential,8192,1052672,14336,14280,418025,3265,2392.2
PMEM,nt,write,sequential,16384,131072,14336,114688,210816,3294,4743.47
PMEM,nt,write,sequential,16384,135168,14336,111212,210045,3281,4760.87
PMEM,nt,write,sequential,16384,1048576,14336,14336,243247,3800,4111.04
PMEM,nt,write,sequential,16384,1052672,14336,14280,216655,3385,4615.61
PMEM,nt,write,sequential,32768,131072,14336,114688,122708,3834,8149.39
PMEM,nt,write,sequential,32768,135168,14336,111212,128699,4021,7770.03
PMEM,nt,write,sequential,32768,1048576,14336,14336,117012,3656,8546.09
PMEM,nt,write,sequential,32768,1052672,14336,14280,112301,3509,8904.58
PMEM,nt,write,sequential,65536,131072,14336,114688,60346,3771,16571.1
PMEM,nt,write,sequential,65536,135168,14336,111212,61131,3820,16358.3
PMEM,nt,write,sequential,65536,1048576,14336,14336,63642,3977,15712.9
PMEM,nt,write,sequential,65536,1052672,14336,14280,63507,3969,15746.1
PMEM,t,write,sequential,8,131072,14336,114688,1574522,12,635.113
PMEM,t,write,sequential,8,135168,14336,111212,2568103,19,389.392
PMEM,t,write,sequential,8,1048576,14336,14336,1606731,12,622.381
PMEM,t,write,sequential,8,1052672,14336,14280,2563001,19,390.168
PMEM,t,write,sequential,16,131072,14336,114688,1576394,24,634.359
PMEM,t,write,sequential,16,135168,14336,111212,2571964,39,388.808
PMEM,t,write,sequential,16,1048576,14336,14336,1615182,24,619.125
PMEM,t,write,sequential,16,1052672,14336,14280,2568734,39,389.297
PMEM,t,write,sequential,32,131072,14336,114688,1575517,48,634.712
PMEM,t,write,sequential,32,135168,14336,111212,2567302,78,389.514
PMEM,t,write,sequential,32,1048576,14336,14336,1614890,49,619.237
PMEM,t,write,sequential,32,1052672,14336,14280,2563245,78,390.13
PMEM,t,write,sequential,64,131072,14336,114688,1907277,116,524.307
PMEM,t,write,sequential,64,135168,14336,111212,3066905,187,326.062
PMEM,t,write,sequential,64,1048576,14336,14336,1951936,119,512.312
PMEM,t,write,sequential,64,1052672,14336,14280,3077441,187,324.945
PMEM,t,write,sequential,128,131072,14336,114688,1879630,229,532.019
PMEM,t,write,sequential,128,135168,14336,111212,2549370,311,392.254
PMEM,t,write,sequential,128,1048576,14336,14336,1910414,233,523.447
PMEM,t,write,sequential,128,1052672,14336,14280,2528465,308,395.497
PMEM,t,write,sequential,256,131072,14336,114688,1608021,392,621.882
PMEM,t,write,sequential,256,135168,14336,111212,2354524,574,424.714
PMEM,t,write,sequential,256,1048576,14336,14336,1602706,391,623.945
PMEM,t,write,sequential,256,1052672,14336,14280,2334282,569,428.397
PMEM,t,write,sequential,512,131072,14336,114688,1183671,577,844.829
PMEM,t,write,sequential,512,135168,14336,111212,1481607,723,674.943
PMEM,t,write,sequential,512,1048576,14336,14336,1184491,578,844.244
PMEM,t,write,sequential,512,1052672,14336,14280,1514372,739,660.339
PMEM,t,write,sequential,1024,131072,14336,114688,854007,833,1170.95
PMEM,t,write,sequential,1024,135168,14336,111212,1173396,1145,852.227
PMEM,t,write,sequential,1024,1048576,14336,14336,861310,841,1161.02
PMEM,t,write,sequential,1024,1052672,14336,14280,1185778,1157,843.328
PMEM,t,write,sequential,2048,131072,14336,114688,541723,1058,1845.96
PMEM,t,write,sequential,2048,135168,14336,111212,750697,1466,1332.09
PMEM,t,write,sequential,2048,1048576,14336,14336,539636,1053,1853.1
PMEM,t,write,sequential,2048,1052672,14336,14280,756803,1478,1321.35
PMEM,t,write,sequential,4096,131072,14336,114688,374393,1462,2670.99
PMEM,t,write,sequential,4096,135168,14336,111212,427582,1670,2338.73
PMEM,t,write,sequential,4096,1048576,14336,14336,371786,1452,2689.72
PMEM,t,write,sequential,4096,1052672,14336,14280,421182,1645,2374.27
PMEM,t,write,sequential,8192,131072,14336,114688,227875,1780,4388.36
PMEM,t,write,sequential,8192,135168,14336,111212,205226,1603,4872.67
PMEM,t,write,sequential,8192,1048576,14336,14336,222359,1737,4497.22
PMEM,t,write,sequential,8192,1052672,14336,14280,205193,1603,4873.45
PMEM,t,write,sequential,16384,131072,14336,114688,118572,1852,8433.69
PMEM,t,write,sequential,16384,135168,14336,111212,112099,1751,8920.62
PMEM,t,write,sequential,16384,1048576,14336,14336,117920,1842,8480.32
PMEM,t,write,sequential,16384,1052672,14336,14280,112557,1758,8884.37
PMEM,t,write,sequential,32768,131072,14336,114688,59934,1872,16684.9
PMEM,t,write,sequential,32768,135168,14336,111212,58339,1823,17141
PMEM,t,write,sequential,32768,1048576,14336,14336,59478,1858,16812.7
PMEM,t,write,sequential,32768,1052672,14336,14280,58254,1820,17165.9
PMEM,t,write,sequential,65536,131072,14336,114688,28722,1795,34815.6
PMEM,t,write,sequential,65536,135168,14336,111212,28358,1772,35262.7
PMEM,t,write,sequential,65536,1048576,14336,14336,28768,1798,34760.5
PMEM,t,write,sequential,65536,1052672,14336,14280,28201,1762,35459.3
PMEM,nt,write,random,8,131072,14336,114688,1436601,10,696.087
PMEM,nt,write,random,8,135168,14336,111212,1644192,12,608.201
PMEM,nt,write,random,8,1048576,14336,14336,1449186,11,690.042
PMEM,nt,write,random,8,1052672,14336,14280,1680636,12,595.013
PMEM,nt,write,random,16,131072,14336,114688,1434794,21,696.964
PMEM,nt,write,random,16,135168,14336,111212,1640687,25,609.501
PMEM,nt,write,random,16,1048576,14336,14336,1471707,22,679.483
PMEM,nt,write,random,16,1052672,14336,14280,1697667,25,589.043
PMEM,nt,write,random,32,131072,14336,114688,1435891,43,696.432
PMEM,nt,write,random,32,135168,14336,111212,1643276,50,608.54
PMEM,nt,write,random,32,1048576,14336,14336,1462815,44,683.613
PMEM,nt,write,random,32,1052672,14336,14280,1692565,51,590.819
PMEM,nt,write,random,64,131072,14336,114688,1907708,116,524.189
PMEM,nt,write,random,64,135168,14336,111212,3009440,183,332.288
PMEM,nt,write,random,64,1048576,14336,14336,1943451,118,514.548
PMEM,nt,write,random,64,1052672,14336,14280,3098725,189,322.713
PMEM,nt,write,random,128,131072,14336,114688,1863145,227,536.727
PMEM,nt,write,random,128,135168,14336,111212,2950652,360,338.908
PMEM,nt,write,random,128,1048576,14336,14336,1893635,231,528.085
PMEM,nt,write,random,128,1052672,14336,14280,2941521,359,339.96
PMEM,nt,write,random,256,131072,14336,114688,1688755,412,592.152
PMEM,nt,write,random,256,135168,14336,111212,2773128,677,360.604
PMEM,nt,write,random,256,1048576,14336,14336,1707413,416,585.681
PMEM,nt,write,random,256,1052672,14336,14280,2775352,677,360.315
PMEM,nt,write,random,512,131072,14336,114688,1526222,745,655.212
PMEM,nt,write,random,512,135168,14336,111212,2488754,1215,401.807
PMEM,nt,write,random,512,1048576,14336,14336,1531597,747,652.913
PMEM,nt,write,random,512,1052672,14336,14280,2532566,1236,394.856
PMEM,nt,write,random,1024,131072,14336,114688,1274344,1244,784.717
PMEM,nt,write,random,1024,135168,14336,111212,1979981,1933,505.055
PMEM,nt,write,random,1024,1048576,14336,14336,1280704,1250,780.82
PMEM,nt,write,random,1024,1052672,14336,14280,1992344,1945,501.921
PMEM,nt,write,random,2048,131072,14336,114688,696294,1359,1436.17
PMEM,nt,write,random,2048,135168,14336,111212,1056267,2063,946.73
PMEM,nt,write,random,2048,1048576,14336,14336,704790,1376,1418.86
PMEM,nt,write,random,2048,1052672,14336,14280,1073794,2097,931.277
PMEM,nt,write,random,4096,131072,14336,114688,637202,2489,1569.36
PMEM,nt,write,random,4096,135168,14336,111212,694079,2711,1440.76
PMEM,nt,write,random,4096,1048576,14336,14336,631576,2467,1583.34
PMEM,nt,write,random,4096,1052672,14336,14280,710149,2774,1408.15
PMEM,nt,write,random,8192,131072,14336,114688,443427,3464,2255.16
PMEM,nt,write,random,8192,135168,14336,111212,429945,3358,2325.88
PMEM,nt,write,random,8192,1048576,14336,14336,443407,3464,2255.26
PMEM,nt,write,random,8192,1052672,14336,14280,451828,3529,2213.23
PMEM,nt,write,random,16384,131072,14336,114688,206249,3222,4848.5
PMEM,nt,write,random,16384,135168,14336,111212,213936,3342,4674.28
PMEM,nt,write,random,16384,1048576,14336,14336,246883,3857,4050.49
PMEM,nt,write,random,16384,1052672,14336,14280,220166,3440,4542.03
PMEM,nt,write,random,32768,131072,14336,114688,125908,3934,7942.3
PMEM,nt,write,random,32768,135168,14336,111212,125984,3937,7937.49
PMEM,nt,write,random,32768,1048576,14336,14336,118060,3689,8470.22
PMEM,nt,write,random,32768,1052672,14336,14280,114105,3565,8763.85
PMEM,nt,write,random,65536,131072,14336,114688,60765,3797,16456.8
PMEM,nt,write,random,65536,135168,14336,111212,61307,3831,16311.2
PMEM,nt,write,random,65536,1048576,14336,14336,65059,4066,15370.6
PMEM,nt,write,random,65536,1052672,14336,14280,65605,4100,15242.7
PMEM,t,write,random,8,131072,14336,114688,1575182,12,634.847
PMEM,t,write,random,8,135168,14336,111212,2532037,19,394.939
PMEM,t,write,random,8,1048576,14336,14336,1622849,12,616.2
PMEM,t,write,random,8,1052672,14336,14280,2539580,19,393.766
PMEM,t,write,random,16,131072,14336,114688,1576337,24,634.382
PMEM,t,write,random,16,135168,14336,111212,2533105,38,394.772
PMEM,t,write,random,16,1048576,14336,14336,1614511,24,619.382
PMEM,t,write,random,16,1052672,14336,14280,2538594,38,393.919
PMEM,t,write,random,32,131072,14336,114688,1578866,48,633.366
PMEM,t,write,random,32,135168,14336,111212,2549032,77,392.306
PMEM,t,write,random,32,1048576,14336,14336,1623106,49,616.102
PMEM,t,write,random,32,1052672,14336,14280,2549509,77,392.232
PMEM,t,write,random,64,131072,14336,114688,1906473,116,524.529
PMEM,t,write,random,64,135168,14336,111212,3048533,186,328.027
PMEM,t,write,random,64,1048576,14336,14336,1960943,119,509.958
PMEM,t,write,random,64,1052672,14336,14280,3069810,187,325.753
PMEM,t,write,random,128,131072,14336,114688,1852958,226,539.677
PMEM,t,write,random,128,135168,14336,111212,2446209,298,408.796
PMEM,t,write,random,128,1048576,14336,14336,1892849,231,528.304
PMEM,t,write,random,128,1052672,14336,14280,2473373,301,404.306
PMEM,t,write,random,256,131072,14336,114688,1600536,390,624.791
PMEM,t,write,random,256,135168,14336,111212,2228398,544,448.753
PMEM,t,write,random,256,1048576,14336,14336,1610998,393,620.733
PMEM,t,write,random,256,1052672,14336,14280,2204927,538,453.53
PMEM,t,write,random,512,131072,14336,114688,1216104,593,822.298
PMEM,t,write,random,512,135168,14336,111212,1562754,763,639.896
PMEM,t,write,random,512,1048576,14336,14336,1220305,595,819.467
PMEM,t,write,random,512,1052672,14336,14280,1582317,772,631.984
PMEM,t,write,random,1024,131072,14336,114688,879941,859,1136.44
PMEM,t,write,random,1024,135168,14336,111212,1143590,1116,874.439
PMEM,t,write,random,1024,1048576,14336,14336,884265,863,1130.88
PMEM,t,write,random,1024,1052672,14336,14280,1151625,1124,868.338
PMEM,t,write,random,2048,131072,14336,114688,538293,1051,1857.72
PMEM,t,write,random,2048,135168,14336,111212,677858,1323,1475.23
PMEM,t,write,random,2048,1048576,14336,14336,539360,1053,1854.05
PMEM,t,write,random,2048,1052672,14336,14280,678283,1324,1474.31
PMEM,t,write,random,4096,131072,14336,114688,374091,1461,2673.14
PMEM,t,write,random,4096,135168,14336,111212,388911,1519,2571.28
PMEM,t,write,random,4096,1048576,14336,14336,371917,1452,2688.77
PMEM,t,write,random,4096,1052672,14336,14280,389106,1519,2569.99
PMEM,t,write,random,8192,131072,14336,114688,227691,1778,4391.9
PMEM,t,write,random,8192,135168,14336,111212,216604,1692,4616.72
PMEM,t,write,random,8192,1048576,14336,14336,218905,1710,4568.19
PMEM,t,write,random,8192,1052672,14336,14280,216275,1689,4623.73
PMEM,t,write,random,16384,131072,14336,114688,117839,1841,8486.11
PMEM,t,write,random,16384,135168,14336,111212,114825,1794,8708.84
PMEM,t,write,random,16384,1048576,14336,14336,117513,1836,8509.64
PMEM,t,write,random,16384,1052672,14336,14280,115853,1810,8631.57
PMEM,t,write,random,32768,131072,14336,114688,59776,1868,16729.1
PMEM,t,write,random,32768,135168,14336,111212,59113,1847,16916.7
PMEM,t,write,random,32768,1048576,14336,14336,59619,1863,16772.9
PMEM,t,write,random,32768,1052672,14336,14280,59160,1848,16903.3
PMEM,t,write,random,65536,131072,14336,114688,28670,1791,34879.4
PMEM,t,write,random,65536,135168,14336,111212,28491,1780,35098.8
PMEM,t,write,random,65536,1048576,14336,14336,28580,1786,34988.7
PMEM,t,write,random,65536,1052672,14336,14280,28336,1771,35289.6
PMEM,nt,read,sequential,8,131072,14336,114688,2563531,19,390.087
PMEM,nt,read,sequential,8,135168,14336,111212,2692174,20,371.447
PMEM,nt,read,sequential,8,1048576,14336,14336,2536650,19,394.221
PMEM,nt,read,sequential,8,1052672,14336,14280,2628909,20,380.386
PMEM,nt,read,sequential,16,131072,14336,114688,2559268,39,390.737
PMEM,nt,read,sequential,16,135168,14336,111212,2685801,40,372.328
PMEM,nt,read,sequential,16,1048576,14336,14336,2521034,38,396.663
PMEM,nt,read,sequential,16,1052672,14336,14280,2565456,39,389.794
PMEM,nt,read,sequential,32,131072,14336,114688,2538843,77,393.88
