platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1364445,10,732.899
PMEM,nt,write,sequential,8,135168,14336,111212,1581904,12,632.149
PMEM,nt,write,sequential,8,1048576,14336,14336,1377702,10,725.846
PMEM,nt,write,sequential,8,1052672,14336,14280,1678058,12,595.927
PMEM,nt,write,sequential,16,131072,14336,114688,1364446,20,732.898
PMEM,nt,write,sequential,16,135168,14336,111212,1640966,25,609.397
PMEM,nt,write,sequential,16,1048576,14336,14336,1379957,21,724.66
PMEM,nt,write,sequential,16,1052672,14336,14280,1673704,25,597.477
PMEM,nt,write,sequential,32,131072,14336,114688,1364928,41,732.639
PMEM,nt,write,sequential,32,135168,14336,111212,1574188,48,635.248
PMEM,nt,write,sequential,32,1048576,14336,14336,1376706,42,726.371
PMEM,nt,write,sequential,32,1052672,14336,14280,1654345,50,604.469
PMEM,nt,write,sequential,64,131072,14336,114688,1919000,117,521.105
PMEM,nt,write,sequential,64,135168,14336,111212,3014645,183,331.714
PMEM,nt,write,sequential,64,1048576,14336,14336,1891382,115,528.714
PMEM,nt,write,sequential,64,1052672,14336,14280,3147530,192,317.709
PMEM,nt,write,sequential,128,131072,14336,114688,1889534,230,529.231
PMEM,nt,write,sequential,128,135168,14336,111212,2890411,352,345.971
PMEM,nt,write,sequential,128,1048576,14336,14336,1875361,228,533.23
PMEM,nt,write,sequential,128,1052672,14336,14280,3100922,378,322.485
PMEM,nt,write,sequential,256,131072,14336,114688,1702628,415,587.327
PMEM,nt,write,sequential,256,135168,14336,111212,2826757,690,353.762
PMEM,nt,write,sequential,256,1048576,14336,14336,1690744,412,591.456
PMEM,nt,write,sequential,256,1052672,14336,14280,2914042,711,343.166
PMEM,nt,write,sequential,512,131072,14336,114688,1535999,749,651.042
PMEM,nt,write,sequential,512,135168,14336,111212,2683521,1310,372.645
PMEM,nt,write,sequential,512,1048576,14336,14336,1521600,742,657.203
PMEM,nt,write,sequential,512,1052672,14336,14280,2737223,1336,365.334
PMEM,nt,write,sequential,1024,131072,14336,114688,1283707,1253,778.994
PMEM,nt,write,sequential,1024,135168,14336,111212,2263708,2210,441.753
PMEM,nt,write,sequential,1024,1048576,14336,14336,1270095,1240,787.342
