platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
DRAM_cached,nt,read,sequential,8,1048576,14336,14336,11252535,85,88.8689
DRAM_cached,nt,read,sequential,8,1052672,14336,14280,11246916,85,88.9133
DRAM_cached,nt,read,sequential,16,131072,14336,114688,11746304,179,85.1332
DRAM_cached,nt,read,sequential,16,135168,14336,111212,12310527,187,81.2313
DRAM_cached,nt,read,sequential,16,1048576,14336,14336,11119962,169,89.9284
DRAM_cached,nt,read,sequential,16,1052672,14336,14280,11244417,171,88.933
DRAM_cached,nt,read,sequential,32,131072,14336,114688,11541052,352,86.6472
DRAM_cached,nt,read,sequential,32,135168,14336,111212,12101848,369,82.632
DRAM_cached,nt,read,sequential,32,1048576,14336,14336,10963580,334,91.2111
DRAM_cached,nt,read,sequential,32,1052672,14336,14280,10850179,331,92.1644
DRAM_cached,nt,read,sequential,64,131072,14336,114688,11164164,681,89.5723
DRAM_cached,nt,read,sequential,64,135168,14336,111212,11642844,710,85.8897
DRAM_cached,nt,read,sequential,64,1048576,14336,14336,10360814,632,96.5175
DRAM_cached,nt,read,sequential,64,1052672,14336,14280,10379462,633,96.3441
DRAM_cached,nt,read,sequential,128,131072,14336,114688,10622184,1296,94.1426
DRAM_cached,nt,read,sequential,128,135168,14336,111212,11092903,1354,90.1477
DRAM_cached,nt,read,sequential,128,1048576,14336,14336,10056356,1227,99.4396
DRAM_cached,nt,read,sequential,128,1052672,14336,14280,10050336,1226,99.4992
DRAM_cached,nt,read,sequential,256,131072,14336,114688,11038157,2694,90.5948
DRAM_cached,nt,read,sequential,256,135168,14336,111212,11447283,2794,87.357
DRAM_cached,nt,read,sequential,256,1048576,14336,14336,9752546,2380,102.537
DRAM_cached,nt,read,sequential,256,1052672,14336,14280,9902556,2417,100.984
DRAM_cached,nt,read,sequential,512,131072,14336,114688,9920532,4844,100.801
DRAM_cached,nt,read,sequential,512,135168,14336,111212,10415082,5085,96.0146
DRAM_cached,nt,read,sequential,512,1048576,14336,14336,8933562,4362,111.937
DRAM_cached,nt,read,sequential,512,1052672,14336,14280,8990932,4390,111.223
DRAM_cached,nt,read,sequential,1024,131072,14336,114688,6089741,5947,164.211
DRAM_cached,nt,read,sequential,1024,135168,14336,111212,5878511,5740,170.111
DRAM_cached,nt,read,sequential,1024,1048576,14336,14336,5771664,5636,173.26
DRAM_cached,nt,read,sequential,1024,1052672,14336,14280,5752588,5617,173.835
DRAM_cached,nt,read,sequential,2048,131072,14336,114688,3280023,6406,304.876
DRAM_cached,nt,read,sequential,2048,135168,14336,111212,3320189,6484,301.188
DRAM_cached,nt,read,sequential,2048,1048576,14336,14336,3299618,6444,303.065
DRAM_cached,nt,read,sequential,2048,1052672,14336,14280,3304435,6453,302.624
DRAM_cached,nt,read,sequential,4096,131072,14336,114688,2320080,9062,431.02
DRAM_cached,nt,read,sequential,4096,135168,14336,111212,2304294,9001,433.972
DRAM_cached,nt,read,sequential,4096,1048576,14336,14336,2263782,8842,441.739
DRAM_cached,nt,read,sequential,4096,1052672,14336,14280,2288337,8938,436.999
DRAM_cached,nt,read,sequential,8192,131072,14336,114688,1184837,9256,843.998
DRAM_cached,nt,read,sequential,8192,135168,14336,111212,1201783,9388,832.097
DRAM_cached,nt,read,sequential,8192,1048576,14336,14336,1191448,9308,839.314
DRAM_cached,nt,read,sequential,8192,1052672,14336,14280,1179603,9215,847.742
DRAM_cached,nt,read,sequential,16384,131072,14336,114688,421994,6593,2369.7
DRAM_cached,nt,read,sequential,16384,135168,14336,111212,420480,6570,2378.23
DRAM_cached,nt,read,sequential,16384,1048576,14336,14336,419385,6552,2384.44
DRAM_cached,nt,read,sequential,16384,1052672,14336,14280,418942,6545,2386.96
DRAM_cached,nt,read,sequential,32768,131072,14336,114688,199152,6223,5021.28
DRAM_cached,nt,read,sequential,32768,135168,14336,111212,199149,6223,5021.37
DRAM_cached,nt,read,sequential,32768,1048576,14336,14336,198430,6200,5039.55
DRAM_cached,nt,read,sequential,32768,1052672,14336,14280,198227,6194,5044.7
DRAM_cached,nt,read,sequential,65536,131072,14336,114688,99868,6241,10013.1
DRAM_cached,nt,read,sequential,65536,135168,14336,111212,99690,6230,10031.1
DRAM_cached,nt,read,sequential,65536,1048576,14336,14336,99839,6239,10016.1
DRAM_cached,nt,read,sequential,65536,1052672,14336,14280,99857,6241,10014.2
DRAM_cached,t,read,sequential,8,131072,14336,114688,11780621,89,84.8852
DRAM_cached,t,read,sequential,8,135168,14336,111212,12341117,94,81.0299
DRAM_cached,t,read,sequential,8,1048576,14336,14336,11090138,84,90.1702
DRAM_cached,t,read,sequential,8,1052672,14336,14280,11178978,85,89.4536
DRAM_cached,t,read,sequential,16,131072,14336,114688,11709670,178,85.3995
DRAM_cached,t,read,sequential,16,135168,14336,111212,12293533,187,81.3436
