platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,read,random,8,131072,8192,65536,2478072,18,403.539
PMEM,read,random,8,135168,8192,63550,2556780,19,391.117
PMEM,read,random,16,131072,8192,65536,2471252,37,404.653
PMEM,read,random,16,135168,8192,63550,2594788,39,385.388
PMEM,read,random,32,131072,8192,65536,2453652,74,407.556
PMEM,read,random,32,135168,8192,63550,2666412,81,375.036
PMEM,read,random,64,131072,8192,65536,2450591,149,408.065
PMEM,read,random,64,135168,8192,63550,2541415,155,393.481
PMEM,read,random,128,131072,8192,65536,2285213,278,437.596
PMEM,read,random,128,135168,8192,63550,2392816,292,417.917
PMEM,read,random,256,131072,8192,65536,2168948,529,461.053
PMEM,read,random,256,135168,8192,63550,2153155,525,464.435
PMEM,read,random,512,131072,8192,65536,2134742,1042,468.44
PMEM,read,random,512,135168,8192,63550,2238500,1093,446.728
PMEM,read,random,1024,131072,8192,65536,1722239,1681,580.639
PMEM,read,random,1024,135168,8192,63550,1773017,1731,564.01
PMEM,read,random,2048,131072,8192,65536,1188203,2320,841.607
PMEM,read,random,2048,135168,8192,63550,1181630,2307,846.288
PMEM,read,random,4096,131072,8192,65536,664585,2596,1504.7
PMEM,read,random,4096,135168,8192,63550,655190,2559,1526.27
PMEM,read,random,8192,131072,8192,65536,386224,3017,2589.17
PMEM,read,random,8192,135168,8192,63550,384920,3007,2597.94
PMEM,read,random,16384,131072,8192,65536,179836,2809,5560.62
PMEM,read,random,16384,135168,8192,63550,197816,3090,5055.18
PMEM,read,random,32768,131072,8192,65536,105953,3311,9438.13
PMEM,read,random,32768,135168,8192,63550,105368,3292,9490.52
PMEM,read,random,65536,131072,8192,65536,54376,3398,18390.3
PMEM,read,random,65536,135168,8192,63550,45876,2867,21797.6
platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
DRAM_cached,write,sequential,8,131072,8192,65536,24716920,188,40.4581
DRAM_cached,write,sequential,8,135168,8192,63550,23282106,177,42.9514
DRAM_cached,write,sequential,16,131072,8192,65536,24717740,377,40.4568
DRAM_cached,write,sequential,16,135168,8192,63550,23420755,357,42.6972
DRAM_cached,write,sequential,32,131072,8192,65536,24794498,756,40.3315
DRAM_cached,write,sequential,32,135168,8192,63550,23446937,715,42.6495
DRAM_cached,write,sequential,64,131072,8192,65536,25119636,1533,39.8095
DRAM_cached,write,sequential,64,135168,8192,63550,20613569,1258,48.5117
DRAM_cached,write,sequential,128,131072,8192,65536,23098105,2819,43.2936
DRAM_cached,write,sequential,128,135168,8192,63550,18733654,2286,53.3799
DRAM_cached,write,sequential,256,131072,8192,65536,19149498,4675,52.2207
DRAM_cached,write,sequential,256,135168,8192,63550,15550078,3796,64.3084
DRAM_cached,write,sequential,512,131072,8192,65536,12369593,6039,80.8434
DRAM_cached,write,sequential,512,135168,8192,63550,11431143,5581,87.4803
DRAM_cached,write,sequential,1024,131072,8192,65536,7565608,7388,132.177
DRAM_cached,write,sequential,1024,135168,8192,63550,7351480,7179,136.027
DRAM_cached,write,sequential,2048,131072,8192,65536,4534028,8855,220.554
DRAM_cached,write,sequential,2048,135168,8192,63550,4479188,8748,223.255
DRAM_cached,write,sequential,4096,131072,8192,65536,2666030,10414,375.09
DRAM_cached,write,sequential,4096,135168,8192,63550,2668416,10423,374.754
DRAM_cached,write,sequential,8192,131072,8192,65536,1442241,11267,693.365
DRAM_cached,write,sequential,8192,135168,8192,63550,1440040,11250,694.425
DRAM_cached,write,sequential,16384,131072,8192,65536,346521,5414,2885.82
DRAM_cached,write,sequential,16384,135168,8192,63550,347282,5426,2879.5
DRAM_cached,write,sequential,32768,131072,8192,65536,164556,5142,6076.93
DRAM_cached,write,sequential,32768,135168,8192,63550,164530,5141,6077.91
DRAM_cached,write,sequential,65536,131072,8192,65536,82242,5140,12159.2
DRAM_cached,write,sequential,65536,135168,8192,63550,82218,5138,12162.8
DRAM_cached,write,random,8,131072,8192,65536,25180324,192,39.7135
DRAM_cached,write,random,8,135168,8192,63550,25730739,196,38.864
DRAM_cached,write,random,16,131072,8192,65536,25155243,383,39.7531
DRAM_cached,write,random,16,135168,8192,63550,25912623,395,38.5912
DRAM_cached,write,random,32,131072,8192,65536,25249456,770,39.6048
DRAM_cached,write,random,32,135168,8192,63550,26061862,795,38.3702
DRAM_cached,write,random,64,131072,8192,65536,25228374,1539,39.6379
DRAM_cached,write,random,64,135168,8192,63550,24188484,1476,41.342
DRAM_cached,write,random,128,131072,8192,65536,24032225,2933,41.6108
DRAM_cached,write,random,128,135168,8192,63550,24124531,2944,41.4516
DRAM_cached,write,random,256,131072,8192,65536,18785829,4586,53.2316
DRAM_cached,write,random,256,135168,8192,63550,18721313,4570,53.4151
DRAM_cached,write,random,512,131072,8192,65536,11764002,5744,85.0051
DRAM_cached,write,random,512,135168,8192,63550,11845257,5783,84.422
DRAM_cached,write,random,1024,131072,8192,65536,6988151,6824,143.099
DRAM_cached,write,random,1024,135168,8192,63550,7020958,6856,142.431
DRAM_cached,write,random,2048,131072,8192,65536,4457104,8705,224.361
DRAM_cached,write,random,2048,135168,8192,63550,4429594,8651,225.754
DRAM_cached,write,random,4096,131072,8192,65536,2676594,10455,373.609
DRAM_cached,write,random,4096,135168,8192,63550,2688708,10502,371.926
DRAM_cached,write,random,8192,131072,8192,65536,1465572,11449,682.327
DRAM_cached,write,random,8192,135168,8192,63550,1457988,11390,685.877
DRAM_cached,write,random,16384,131072,8192,65536,758888,11857,1317.72
DRAM_cached,write,random,16384,135168,8192,63550,753112,11767,1327.82
DRAM_cached,write,random,32768,131072,8192,65536,380334,11885,2629.27
